Student_ID,Country,Age,Gender,Education_Level,Field_of_Study,Platform_Used,Device_Used,Learning_Mode,Enrollment_Date,Daily_Learning_Hours,Quizzes_Attempted,Assignments_Submitted,Course_Completion_Rate(%),Satisfaction_Score(1-5)
1,South Africa,21,Other,High School,Medicine,Khan Academy,Mobile,Self-Paced,2023-11-24,4.58,7,3,28.91,2
2,South Africa,49,Female,Undergraduate,Arts,Udacity,Tablet,Self-Paced,2023-02-17,3.28,0,8,37.49,2
3,UK,20,Female,High School,Engineering,edX,Tablet,Self-Paced,2023-03-23,2.37,4,3,75.85,3
4,France,38,Other,Undergraduate,Data Science,Coursera,Mobile,Hybrid,2023-08-24,5.85,12,1,62.9,5
5,France,44,Other,Postgraduate,Business,edX,Tablet,Self-Paced,2023-04-27,5.92,7,1,81.85,4
6,Brazil,25,Other,Undergraduate,Business,Khan Academy,Desktop,Instructor-Led,2023-12-10,5.65,20,1,41.36,5
7,USA,35,Female,Postgraduate,Computer Science,Udemy,Tablet,Self-Paced,2023-11-24,1.71,10,0,75.05,2
8,France,23,Male,Postgraduate,Data Science,Udacity,Desktop,Hybrid,2023-12-02,5.37,20,7,59.94,2
9,UK,18,Male,Undergraduate,Data Science,Udemy,Desktop,Hybrid,2023-07-24,5.99,4,8,48.96,4
10,Japan,15,Other,High School,Data Science,Udacity,Tablet,Hybrid,2023-02-02,3.78,14,8,50.78,3
11,Japan,26,Other,High School,Data Science,edX,Laptop,Self-Paced,2023-06-24,2.89,14,0,28.92,3
12,India,46,Male,High School,Engineering,edX,Laptop,Self-Paced,2023-07-11,3.47,16,0,81.0,5
13,UAE,49,Male,Undergraduate,Data Science,Khan Academy,Laptop,Instructor-Led,2023-05-04,5.71,2,7,90.24,1
14,South Africa,34,Female,Postgraduate,Arts,Udacity,Desktop,Self-Paced,2023-09-28,2.83,6,8,89.79,2
15,Australia,29,Male,High School,Data Science,YouTube Learning,Mobile,Self-Paced,2023-05-07,2.36,18,8,37.98,2
16,France,46,Male,Undergraduate,Data Science,Udacity,Desktop,Self-Paced,2023-02-04,5.23,2,8,92.43,2
17,India,42,Female,Professional,Data Science,Coursera,Mobile,Self-Paced,2023-08-31,1.55,3,10,84.6,4
18,Germany,49,Female,Undergraduate,Arts,Udemy,Tablet,Instructor-Led,2023-07-26,4.9,3,3,78.26,2
19,Brazil,49,Male,High School,Business,Udemy,Desktop,Instructor-Led,2023-05-08,0.91,17,1,89.96,1
20,USA,39,Female,Professional,Engineering,Khan Academy,Desktop,Self-Paced,2023-09-04,2.71,1,2,37.1,4
21,South Africa,35,Male,High School,Medicine,Khan Academy,Laptop,Self-Paced,2023-04-08,5.83,18,8,43.74,1
22,Pakistan,22,Other,Undergraduate,Medicine,Udacity,Mobile,Hybrid,2023-09-18,1.52,19,1,26.41,2
23,Germany,35,Male,Postgraduate,Arts,Udemy,Tablet,Instructor-Led,2023-02-11,3.71,16,5,53.54,3
24,Australia,21,Male,Undergraduate,Medicine,edX,Laptop,Instructor-Led,2023-06-11,5.65,0,7,94.32,5
25,South Africa,34,Other,High School,Data Science,Udacity,Tablet,Hybrid,2023-02-05,2.53,5,7,90.34,5
26,Canada,32,Female,Undergraduate,Data Science,edX,Laptop,Hybrid,2023-02-23,1.24,3,1,95.11,5
27,Brazil,42,Female,High School,Computer Science,edX,Laptop,Hybrid,2023-11-21,3.28,8,0,88.23,1
28,UK,19,Other,Undergraduate,Medicine,Coursera,Tablet,Hybrid,2023-05-15,2.93,13,8,32.93,1
